Date,SP-500
30-Dec-22,3839.5
29-Dec-22,3849.28
28-Dec-22,3783.22
27-Dec-22,3829.25
23-Dec-22,3844.82
22-Dec-22,3822.39
21-Dec-22,3878.44
20-Dec-22,3821.62
19-Dec-22,3817.66
16-Dec-22,3852.36
15-Dec-22,3895.75
14-Dec-22,3995.32
13-Dec-22,4019.65
12-Dec-22,3990.56
9-Dec-22,3934.38
8-Dec-22,3963.51
7-Dec-22,3933.92
6-Dec-22,3941.26
5-Dec-22,3998.84
2-Dec-22,4071.7
1-Dec-22,4076.57
30-Nov-22,4080.11
29-Nov-22,3957.63
28-Nov-22,3963.94
25-Nov-22,4026.12
23-Nov-22,4027.26
22-Nov-22,4003.58
21-Nov-22,3949.94
18-Nov-22,3965.34
17-Nov-22,3946.56
16-Nov-22,3958.79
15-Nov-22,3991.73
14-Nov-22,3957.25
11-Nov-22,3992.93
10-Nov-22,3956.37
9-Nov-22,3748.57
8-Nov-22,3828.11
7-Nov-22,3806.8
4-Nov-22,3770.55
3-Nov-22,3719.89
2-Nov-22,3759.69
1-Nov-22,3856.1
31-Oct-22,3871.98
28-Oct-22,3901.06
27-Oct-22,3807.3
26-Oct-22,3830.6
25-Oct-22,3859.11
24-Oct-22,3797.34
21-Oct-22,3752.75
20-Oct-22,3665.78
19-Oct-22,3695.16
18-Oct-22,3719.98
17-Oct-22,3677.95
14-Oct-22,3583.07
13-Oct-22,3669.91
12-Oct-22,3577.03
11-Oct-22,3588.84
10-Oct-22,3612.39
7-Oct-22,3639.66
6-Oct-22,3744.52
5-Oct-22,3783.28
4-Oct-22,3790.93
3-Oct-22,3678.43
30-Sep-22,3585.62
29-Sep-22,3640.47
28-Sep-22,3719.04
27-Sep-22,3647.29
26-Sep-22,3655.04
23-Sep-22,3693.23
22-Sep-22,3757.99
21-Sep-22,3789.93
20-Sep-22,3855.93
19-Sep-22,3899.89
16-Sep-22,3873.33
15-Sep-22,3901.35
14-Sep-22,3946.01
13-Sep-22,3932.69
12-Sep-22,4110.41
9-Sep-22,4067.36
8-Sep-22,4006.18
7-Sep-22,3979.87
6-Sep-22,3908.19
2-Sep-22,3924.26
1-Sep-22,3966.85
31-Aug-22,3955
30-Aug-22,3986.16
29-Aug-22,4030.61
26-Aug-22,4057.66
25-Aug-22,4199.12
24-Aug-22,4140.77
23-Aug-22,4128.73
22-Aug-22,4137.99
19-Aug-22,4228.48
18-Aug-22,4283.74
17-Aug-22,4274.04
16-Aug-22,4305.2
15-Aug-22,4297.14
12-Aug-22,4280.15
11-Aug-22,4207.27
10-Aug-22,4210.24
9-Aug-22,4122.47
8-Aug-22,4140.06
5-Aug-22,4145.19
4-Aug-22,4151.94
3-Aug-22,4155.17
2-Aug-22,4091.19
1-Aug-22,4118.63
29-Jul-22,4130.29
28-Jul-22,4072.43
27-Jul-22,4023.61
26-Jul-22,3921.05
25-Jul-22,3966.84
22-Jul-22,3961.63
21-Jul-22,3998.95
20-Jul-22,3959.9
19-Jul-22,3936.69
18-Jul-22,3830.85
15-Jul-22,3863.16
14-Jul-22,3790.38
13-Jul-22,3801.78
12-Jul-22,3818.8
11-Jul-22,3854.43
8-Jul-22,3899.38
7-Jul-22,3902.62
6-Jul-22,3845.08
5-Jul-22,3831.39
1-Jul-22,3825.33
30-Jun-22,3785.38
29-Jun-22,3818.83
28-Jun-22,3821.55
27-Jun-22,3900.11
24-Jun-22,3911.74
23-Jun-22,3795.73
22-Jun-22,3759.89
21-Jun-22,3764.79
17-Jun-22,3674.84
16-Jun-22,3666.77
15-Jun-22,3789.99
14-Jun-22,3735.48
13-Jun-22,3749.63
10-Jun-22,3900.86
9-Jun-22,4017.82
8-Jun-22,4115.77
7-Jun-22,4160.68
6-Jun-22,4121.43
3-Jun-22,4108.54
2-Jun-22,4176.82
1-Jun-22,4101.23
31-May-22,4132.15
27-May-22,4158.24
26-May-22,4057.84
25-May-22,3978.73
24-May-22,3941.48
23-May-22,3973.75
20-May-22,3901.36
19-May-22,3900.79
18-May-22,3923.68
17-May-22,4088.85
16-May-22,4008.01
13-May-22,4023.89
12-May-22,3930.08
11-May-22,3935.18
10-May-22,4001.05
9-May-22,3991.24
6-May-22,4123.34
5-May-22,4146.87
4-May-22,4300.17
3-May-22,4175.48
2-May-22,4155.38
29-Apr-22,4131.93
28-Apr-22,4287.5
27-Apr-22,4183.96
26-Apr-22,4175.2
25-Apr-22,4296.12
22-Apr-22,4271.78
21-Apr-22,4393.66
20-Apr-22,4459.45
19-Apr-22,4462.21
18-Apr-22,4391.69
14-Apr-22,4392.59
13-Apr-22,4446.59
12-Apr-22,4397.45
11-Apr-22,4412.53
8-Apr-22,4488.28
7-Apr-22,4500.21
6-Apr-22,4481.15
5-Apr-22,4525.12
4-Apr-22,4582.64
1-Apr-22,4545.86
31-Mar-22,4530.41
30-Mar-22,4602.45
29-Mar-22,4631.6
28-Mar-22,4575.52
25-Mar-22,4543.06
24-Mar-22,4520.16
23-Mar-22,4456.24
22-Mar-22,4511.61
21-Mar-22,4461.18
18-Mar-22,4463.12
17-Mar-22,4411.67
16-Mar-22,4357.86
15-Mar-22,4262.45
14-Mar-22,4173.11
11-Mar-22,4204.31
10-Mar-22,4259.52
9-Mar-22,4277.88
8-Mar-22,4170.7
7-Mar-22,4201.09
4-Mar-22,4328.87
3-Mar-22,4363.49
2-Mar-22,4386.54
1-Mar-22,4306.26
28-Feb-22,4373.94
25-Feb-22,4384.65
24-Feb-22,4288.7
23-Feb-22,4225.5
22-Feb-22,4304.76
18-Feb-22,4348.87
17-Feb-22,4380.26
16-Feb-22,4475.01
15-Feb-22,4471.07
14-Feb-22,4401.67
11-Feb-22,4418.64
10-Feb-22,4504.08
9-Feb-22,4587.18
8-Feb-22,4521.54
7-Feb-22,4483.87
4-Feb-22,4500.53
3-Feb-22,4477.44
2-Feb-22,4589.38
1-Feb-22,4546.54
31-Jan-22,4515.55
28-Jan-22,4431.85
27-Jan-22,4326.51
26-Jan-22,4349.93
25-Jan-22,4356.45
24-Jan-22,4410.13
21-Jan-22,4397.94
20-Jan-22,4482.73
19-Jan-22,4532.76
18-Jan-22,4577.11
14-Jan-22,4662.85
13-Jan-22,4659.03
12-Jan-22,4726.35
11-Jan-22,4713.07
10-Jan-22,4670.29
7-Jan-22,4677.03
6-Jan-22,4696.05
5-Jan-22,4700.58
4-Jan-22,4793.54
3-Jan-22,4796.56
31-Dec-21,4766.18
30-Dec-21,4778.73
29-Dec-21,4793.06
28-Dec-21,4786.35
27-Dec-21,4791.19
23-Dec-21,4725.79
22-Dec-21,4696.56
21-Dec-21,4649.23
20-Dec-21,4568.02
17-Dec-21,4620.64
16-Dec-21,4668.67
15-Dec-21,4709.85
14-Dec-21,4634.09
13-Dec-21,4668.97
10-Dec-21,4712.02
9-Dec-21,4667.45
8-Dec-21,4701.21
7-Dec-21,4686.75
6-Dec-21,4591.67
3-Dec-21,4538.43
2-Dec-21,4577.1
1-Dec-21,4513.04
30-Nov-21,4567
29-Nov-21,4655.27
26-Nov-21,4594.62
24-Nov-21,4701.46
23-Nov-21,4690.7
22-Nov-21,4682.94
19-Nov-21,4697.96
18-Nov-21,4704.54
17-Nov-21,4688.67
16-Nov-21,4700.9
15-Nov-21,4682.8
12-Nov-21,4682.85
11-Nov-21,4649.27
10-Nov-21,4646.71
9-Nov-21,4685.25
8-Nov-21,4701.7
5-Nov-21,4697.53
4-Nov-21,4680.06
3-Nov-21,4660.57
2-Nov-21,4630.65
1-Nov-21,4613.67
29-Oct-21,4605.38
28-Oct-21,4596.42
27-Oct-21,4551.68
26-Oct-21,4574.79
25-Oct-21,4566.48
22-Oct-21,4544.9
21-Oct-21,4549.78
20-Oct-21,4536.19
19-Oct-21,4519.63
18-Oct-21,4486.46
15-Oct-21,4471.37
14-Oct-21,4438.26
13-Oct-21,4363.8
12-Oct-21,4350.65
11-Oct-21,4361.19
8-Oct-21,4391.34
7-Oct-21,4399.76
6-Oct-21,4363.55
5-Oct-21,4345.72
4-Oct-21,4300.46
1-Oct-21,4357.04
30-Sep-21,4307.54
29-Sep-21,4359.46
28-Sep-21,4352.63
27-Sep-21,4443.11
24-Sep-21,4455.48
23-Sep-21,4448.98
22-Sep-21,4395.64
21-Sep-21,4354.19
20-Sep-21,4357.73
17-Sep-21,4432.99
16-Sep-21,4473.75
15-Sep-21,4480.7
14-Sep-21,4443.05
13-Sep-21,4468.73
10-Sep-21,4458.58
9-Sep-21,4493.28
8-Sep-21,4514.07
7-Sep-21,4520.03
3-Sep-21,4535.43
2-Sep-21,4536.95
1-Sep-21,4524.09
31-Aug-21,4522.68
30-Aug-21,4528.79
27-Aug-21,4509.37
26-Aug-21,4470
25-Aug-21,4496.19
24-Aug-21,4486.23
23-Aug-21,4479.53
20-Aug-21,4441.67
19-Aug-21,4405.8
18-Aug-21,4400.27
17-Aug-21,4448.08
16-Aug-21,4479.71
13-Aug-21,4468
12-Aug-21,4460.83
11-Aug-21,4442.41
10-Aug-21,4436.75
9-Aug-21,4432.35
6-Aug-21,4436.52
5-Aug-21,4429.1
4-Aug-21,4402.66
3-Aug-21,4423.15
2-Aug-21,4387.16
30-Jul-21,4395.26
29-Jul-21,4419.15
28-Jul-21,4400.64
27-Jul-21,4401.46
26-Jul-21,4422.3
23-Jul-21,4411.79
22-Jul-21,4367.48
21-Jul-21,4358.69
20-Jul-21,4323.06
19-Jul-21,4258.49
16-Jul-21,4327.16
15-Jul-21,4360.03
14-Jul-21,4374.3
13-Jul-21,4369.21
12-Jul-21,4384.63
9-Jul-21,4369.55
8-Jul-21,4320.82
7-Jul-21,4358.13
6-Jul-21,4343.54
2-Jul-21,4352.34
1-Jul-21,4319.94
30-Jun-21,4297.5
29-Jun-21,4291.8
28-Jun-21,4290.61
25-Jun-21,4280.7
24-Jun-21,4266.49
23-Jun-21,4241.84
22-Jun-21,4246.44
21-Jun-21,4224.79
18-Jun-21,4166.45
17-Jun-21,4221.86
16-Jun-21,4223.7
15-Jun-21,4246.59
14-Jun-21,4255.15
11-Jun-21,4247.44
10-Jun-21,4239.18
9-Jun-21,4219.55
8-Jun-21,4227.26
7-Jun-21,4226.52
4-Jun-21,4229.89
3-Jun-21,4192.85
2-Jun-21,4208.12
1-Jun-21,4202.04
28-May-21,4204.11
27-May-21,4200.88
26-May-21,4195.99
25-May-21,4188.13
24-May-21,4197.05
21-May-21,4155.86
20-May-21,4159.12
19-May-21,4115.68
18-May-21,4127.83
17-May-21,4163.29
14-May-21,4173.85
13-May-21,4112.5
12-May-21,4063.04
11-May-21,4152.1
10-May-21,4188.43
7-May-21,4232.6
6-May-21,4201.62
5-May-21,4167.59
4-May-21,4164.66
3-May-21,4192.66
30-Apr-21,4181.17
29-Apr-21,4211.47
28-Apr-21,4183.18
27-Apr-21,4186.72
26-Apr-21,4187.62
23-Apr-21,4180.17
22-Apr-21,4134.98
